index,magnitude,phase_angle,is_predicted,,,Magnitude01,Angle01
242,24783.31641,8.485505152,FALSE,,,24783.31589,8.485504946
243,24783.31641,8.726147231,FALSE,,,24783.31589,8.72614722
244,24783.31641,8.949601138,FALSE,,,24783.31589,8.94960076
245,24783.31641,9.178783867,FALSE,,,24783.31589,9.178783878
246,24783.31641,9.407966596,FALSE,,,24783.31589,9.407966996
247,24783.31641,9.648609528,FALSE,,,24783.31589,9.64860927
248,24774.16016,9.877792257,FALSE,,,24774.16062,9.877792388
249,24774.16016,10.11843434,FALSE,,,24774.16062,10.11843466
250,24774.16016,10.33615857,FALSE,,,24774.16062,10.33615862
251,24774.16016,10.57680065,FALSE,,,24774.16062,10.5768009
252,24774.16016,10.79452488,FALSE,,,24774.16062,10.79452486
253,24774.04688,10.98933553,TRUE,,,24774.16062,11.05808545
254,24774.16016,11.27580904,FALSE,,,24774.16062,11.27580941
255,24774.16016,11.50499262,FALSE,,,24774.16062,11.50499253
256,24774.16016,11.71698718,FALSE,,,24774.16062,11.71698691
257,24774.16016,11.95762926,FALSE,,,24774.16062,11.95762918
258,24774.16016,12.17535349,FALSE,,,24774.16062,12.17535315
259,24774.16016,12.41599557,FALSE,,,24774.16062,12.41599542
260,24774.28516,12.67955805,TRUE,,,24774.16062,12.64517854
261,24765.00586,12.87436188,FALSE,,,24765.00535,12.87436166
262,24774.16016,13.09781493,FALSE,,,24774.16062,13.0978152
263,24765.00586,13.34991636,FALSE,,,24765.00535,13.34991663
264,24765.00586,13.57909994,FALSE,,,24765.00535,13.57909974
265,24774.04102,13.78511723,TRUE,,,24765.00535,13.8254716
266,24765.00586,13.59628811,FALSE,,,24765.00535,13.59628848
267,24765.00586,13.8254717,FALSE,,,24765.00535,13.8254716
268,24765.00586,14.05465442,FALSE,,,24765.00535,14.05465471
269,24765.00586,14.28956768,FALSE,,,24765.00535,14.28956741
270,24765.00586,14.51875041,FALSE,,,24765.00535,14.51875053
271,24765.00586,14.74793399,FALSE,,,24765.00535,14.74793365
272,24765.00586,14.97711758,FALSE,,,24765.00535,14.97711676
273,24765.00586,15.20629945,FALSE,,,24765.00535,15.20629988
274,24755.84961,15.41829486,FALSE,,,24755.85008,15.41829427
275,24765.00586,15.65893609,FALSE,,,24765.00535,15.65893654
276,24792.62891,15.92765964,TRUE,,,24755.85008,15.88811966
277,24755.84961,16.1287626,FALSE,,,24755.85008,16.12876193
278,24755.84961,16.35794448,FALSE,,,24755.85008,16.35794505
279,24755.84961,16.58712806,FALSE,,,24755.85008,16.58712817
280,24755.84961,16.80485229,FALSE,,,24755.85008,16.80485213
281,24755.84961,17.04549522,FALSE,,,24755.85008,17.04549441
282,24755.84961,17.2746771,FALSE,,,24755.85008,17.27467752
283,24755.84961,17.51532003,FALSE,,,24755.85008,17.5153198
284,24755.84961,17.74450361,FALSE,,,24755.85008,17.74450292
285,24765.00586,17.98514484,FALSE,,,24765.00535,17.98514519
286,24765.00586,18.22578777,FALSE,,,24765.00535,18.22578746
287,24765.00586,18.466429,FALSE,,,24765.00535,18.46642974
288,24755.84961,18.69561258,FALSE,,,24755.85008,18.69561286
289,24765.00586,18.93625551,FALSE,,,24765.00535,18.93625513
290,24765.00586,19.18835609,FALSE,,,24765.00535,19.18835656
291,24765.00586,19.41753967,FALSE,,,24765.00535,19.41753968
292,24765.00586,19.6581826,FALSE,,,24765.00535,19.65818195
293,24765.00586,19.90455435,FALSE,,,24765.00535,19.9045538
294,24765.00586,20.16811428,FALSE,,,24765.00535,20.16811439
295,24765.00586,20.39729786,FALSE,,,24765.00535,20.39729751
296,24765.00586,20.64939844,FALSE,,,24765.00535,20.64939894
297,24765.13672,20.92441942,TRUE,,,24765.00535,20.89004121
298,24765.00586,21.12495377,FALSE,,,24765.00535,21.12495391
299,24765.00586,21.37705605,FALSE,,,24765.00535,21.37705534
300,24765.00586,21.61769728,FALSE,,,24765.00535,21.61769761
301,24765.00586,21.86979956,FALSE,,,24765.00535,21.86979904
302,24765.00586,22.10471197,FALSE,,,24765.00535,22.10471174
303,24765.00586,22.33962437,FALSE,,,24765.00535,22.33962443
304,24765.00586,22.57453677,FALSE,,,24765.00535,22.57453713
305,24765.00586,22.82663906,FALSE,,,24765.00535,22.82663856
306,24765.00586,23.05582093,FALSE,,,24765.00535,23.05582168
307,24765.00586,23.29646386,FALSE,,,24765.00535,23.29646395
308,24765.00586,23.52564745,FALSE,,,24765.00535,23.52564707
309,24765.00586,23.76628867,FALSE,,,24765.00535,23.76628934
310,24765.00586,24.0069316,FALSE,,,24765.00535,24.00693162
311,24765.00586,24.24757453,FALSE,,,24765.00535,24.24757389
312,24765.00586,24.48821576,FALSE,,,24765.00535,24.48821616
313,24765.00586,24.73458751,FALSE,,,24765.00535,24.73458802
314,24765.00586,24.9866898,FALSE,,,24765.00535,24.98668945
315,24765.00586,25.23879037,FALSE,,,24765.00535,25.23879088
316,24765.00586,25.48516212,FALSE,,,24765.00535,25.48516273
317,24765.00586,25.72580506,FALSE,,,24765.00535,25.725805
318,24765.00586,25.96644799,FALSE,,,24765.00535,25.96644728
319,24765.00586,26.18990104,FALSE,,,24765.00535,26.18990082
320,24764.91797,26.39616934,TRUE,,,24755.85008,26.42481351
321,24755.84961,26.65972585,FALSE,,,24755.85008,26.65972621
322,24755.84961,26.9060976,FALSE,,,24755.85008,26.90609806
323,24763.75977,26.92876017,TRUE,,,24765.00535,27.13528118
324,24765.00586,27.38738176,FALSE,,,24765.00535,27.38738261
325,24765.00586,27.63948404,FALSE,,,24765.00535,27.63948404
326,24755.84961,27.42749034,FALSE,,,24755.85008,27.42748965
327,24765.00586,27.65667221,FALSE,,,24765.00535,27.65667277
328,24755.84961,27.89731515,FALSE,,,24755.85008,27.89731504
329,24765.00586,28.13795808,FALSE,,,24765.00535,28.13795732
330,24755.84961,28.39005865,FALSE,,,24755.85008,28.39005875
331,24765.00586,28.60778289,FALSE,,,24765.00535,28.60778271
332,24792.30469,28.79069194,TRUE,,,24755.85008,28.84842498
333,24755.84961,29.06615005,FALSE,,,24755.85008,29.06614895
334,24755.84961,29.30679128,FALSE,,,24755.85008,29.30679122
335,24755.84961,29.5474325,FALSE,,,24755.85008,29.54743349
336,24755.84961,29.78807714,FALSE,,,24755.85008,29.78807577
337,24755.84961,30.02871837,FALSE,,,24755.85008,30.02871804
338,24737.53906,30.25790195,FALSE,,,24737.53954,30.25790116
339,24755.84961,30.48708553,FALSE,,,24755.85008,30.48708428
340,24755.84961,30.72772676,FALSE,,,24755.85008,30.72772655
341,24755.84961,30.95691034,FALSE,,,24755.85008,30.95690967
342,24737.53906,31.20901262,FALSE,,,24737.53954,31.2090111
343,24755.84961,31.42673514,FALSE,,,24755.85008,31.42673506
344,24737.53906,31.66737637,FALSE,,,24737.53954,31.66737734
345,24737.53906,31.89655995,FALSE,,,24737.53954,31.89656045
346,24737.53906,32.13720118,FALSE,,,24737.53954,32.13720273
347,24737.53906,32.36638476,FALSE,,,24737.53954,32.36638585
348,24737.53906,32.6070294,FALSE,,,24737.53954,32.60702812
349,24737.53906,32.84767062,FALSE,,,24737.53954,32.84767039
350,24737.53906,33.08831185,FALSE,,,24737.53954,33.08831267
351,24737.53906,33.31749543,FALSE,,,24737.53954,33.31749579
352,24737.53906,33.55813666,FALSE,,,24737.53954,33.55813806
353,24737.60156,33.81023894,TRUE,,,24737.53954,33.78732118
354,24737.53906,34.02796488,FALSE,,,24737.53954,34.02796345
355,24737.53906,34.2456874,FALSE,,,24737.53954,34.24568741
356,24737.53906,34.48632863,FALSE,,,24737.53954,34.48632969
357,24737.66406,34.74989197,TRUE,,,24737.53954,34.71551281
358,24737.53906,34.95615344,FALSE,,,24737.53954,34.95615508
359,24737.53906,35.18533702,FALSE,,,24737.53954,35.1853382
360,24737.53906,35.4145206,FALSE,,,24737.53954,35.41452132
361,24728.38477,35.64943471,FALSE,,,24728.38427,35.64943401
362,24710.10742,35.89034914,TRUE,,,24728.38427,35.87861713
363,24728.38477,36.10780188,FALSE,,,24728.38427,36.10780025
364,24728.38477,36.33698204,FALSE,,,24728.38427,36.33698337
365,24728.38477,36.56616563,FALSE,,,24728.38427,36.56616649
366,24728.38477,36.79535604,TRUE,,,24728.38427,36.80680876
367,24719.22852,37.02453279,FALSE,,,24719.229,37.02453272
368,24719.22852,37.26517402,FALSE,,,24719.229,37.265175
369,24727.20117,37.28784,TRUE,,,24719.229,37.50581727
370,24719.22852,37.74645988,FALSE,,,24719.229,37.74645954
371,24719.22852,37.96991294,FALSE,,,24719.229,37.96991308
372,24719.22852,38.19909652,FALSE,,,24719.229,38.1990962
373,24719.25781,38.43401404,TRUE,,,24719.229,38.40536101
374,24719.22852,38.63454498,FALSE,,,24719.229,38.63454413
375,24710.07422,38.85799804,FALSE,,,24710.07373,38.85799767
376,24719.22852,39.09863926,FALSE,,,24719.229,39.09863994
377,24710.07422,39.32782284,FALSE,,,24710.07373,39.32782306
378,24719.22852,39.55700643,FALSE,,,24719.229,39.55700618
379,24710.07422,39.79764765,FALSE,,,24710.07373,39.79764845
380,24719.22852,40.03829229,FALSE,,,24719.229,40.03829072
381,24719.22852,40.26747246,FALSE,,,24719.229,40.26747384
382,24719.22852,40.49665604,FALSE,,,24719.229,40.49665696
383,24710.07422,40.71438198,FALSE,,,24710.07373,40.71438092
384,24710.07422,40.97794191,FALSE,,,24710.07373,40.97794151
385,24710.07422,41.21858313,FALSE,,,24710.07373,41.21858378
386,24719.22852,41.00658772,FALSE,,,24719.229,41.0065894
387,24719.22852,41.2357713,FALSE,,,24719.229,41.23577252
388,24719.22852,41.46495489,FALSE,,,24719.229,41.46495563
389,24710.07422,41.70559952,FALSE,,,24710.07373,41.70559791
390,24719.22852,41.94624075,FALSE,,,24719.229,41.94624018
391,24719.22852,42.19834303,FALSE,,,24719.229,42.19834161
392,24719.22852,42.45617243,FALSE,,,24719.229,42.45617262
393,24719.22852,42.70827471,FALSE,,,24719.229,42.70827405
394,24719.22852,42.94891594,FALSE,,,24719.229,42.94891632
395,24719.22852,43.19528769,FALSE,,,24719.229,43.19528817
396,24719.22852,43.43592891,FALSE,,,24719.229,43.43593045
397,24719.22852,43.6880312,FALSE,,,24719.229,43.68803188
398,24719.22852,43.93440295,FALSE,,,24719.229,43.93440373
399,24719.22852,44.16931706,FALSE,,,24719.229,44.16931643
400,24728.38477,44.40995829,FALSE,,,24728.38427,44.4099587
401,24719.22852,44.65633004,FALSE,,,24719.229,44.65633055
402,24719.22852,44.90843232,FALSE,,,24719.229,44.90843198
403,24719.22852,45.14907355,FALSE,,,24719.229,45.14907426
404,24728.38477,45.3954453,FALSE,,,24728.38427,45.39544611
405,24728.38477,45.64754758,FALSE,,,24728.38427,45.64754754
406,24728.38477,45.88818881,FALSE,,,24728.38427,45.88818981
407,24728.32227,46.1173758,TRUE,,,24728.38427,46.14602082
