191 : 191 | Magnitude: 24755.849609375 | Phase_angle: -3.1913749403937812
192 : 43521 | Magnitude: 24755.943359375 | Phase_angle: -2.933541062197912
193 : 193 | Magnitude: 24765.005859375 | Phase_angle: -2.7215494927204644
194 : 194 | Magnitude: 24765.005859375 | Phase_angle: -2.4809072006655173
195 : 195 | Magnitude: 24765.005859375 | Phase_angle: -2.2402649086105706
196 : 196 | Magnitude: 24765.005859375 | Phase_angle: -2.0053522914956177
197 : 197 | Magnitude: 24765.005859375 | Phase_angle: -1.7704395676589593
198 : 198 | Magnitude: 24765.005859375 | Phase_angle: -1.5412565187622955
199 : 199 | Magnitude: 24765.005859375 | Phase_angle: -1.3120733631439256
200 : 43521 | Magnitude: 24765.005859375 | Phase_angle: -1.0828864722658536
201 : 201 | Magnitude: 24774.16015625 | Phase_angle: -0.8537071052680392
202 : 202 | Magnitude: 24765.005859375 | Phase_angle: -0.630253571228811
203 : 203 | Magnitude: 24774.16015625 | Phase_angle: -0.395340874072579
204 : 204 | Magnitude: 24774.16015625 | Phase_angle: -0.1604281769163471
205 : 205 | Magnitude: 24774.16015625 | Phase_angle: 0.06875493868138298
206 : 206 | Magnitude: 24774.16015625 | Phase_angle: 0.297938054279113
207 : 207 | Magnitude: 24774.16015625 | Phase_angle: 0.08594367001667542
208 : 208 | Magnitude: 24774.16015625 | Phase_angle: 0.3151267856144055
209 : 209 | Magnitude: 24774.16015625 | Phase_angle: 0.5557690776693526
210 : 210 | Magnitude: 24774.16015625 | Phase_angle: 0.7792226117085808
211 : 43521 | Magnitude: 24774.072265625 | Phase_angle: 0.9854919234045857
212 : 212 | Magnitude: 24774.16015625 | Phase_angle: 1.2547775742393332
213 : 213 | Magnitude: 24783.31640625 | Phase_angle: 1.4954198662942804
214 : 214 | Magnitude: 24783.31640625 | Phase_angle: 1.7246029151909443
215 : 215 | Magnitude: 24783.31640625 | Phase_angle: 1.9595157457493084
216 : 43521 | Magnitude: 24783.34765625 | Phase_angle: 2.2001618797856635
217 : 217 | Magnitude: 24783.31640625 | Phase_angle: 2.4350706549192083
218 : 218 | Magnitude: 24783.31640625 | Phase_angle: 2.6585241355975833
219 : 219 | Magnitude: 24783.31640625 | Phase_angle: 2.8991664276525304
220 : 220 | Magnitude: 24783.31640625 | Phase_angle: 3.1398087197074775
221 : 221 | Magnitude: 24783.31640625 | Phase_angle: 3.37472133682243
222 : 222 | Magnitude: 24783.31640625 | Phase_angle: 3.6096341673807943
223 : 223 | Magnitude: 24783.31640625 | Phase_angle: 3.827357973119175
224 : 224 | Magnitude: 24783.31640625 | Phase_angle: 4.068000478617534
225 : 225 | Magnitude: 24783.31640625 | Phase_angle: 4.308642557229069
226 : 226 | Magnitude: 24783.31640625 | Phase_angle: 4.549285062727428
227 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 4.789932263980841
228 : 228 | Magnitude: 24783.31640625 | Phase_angle: 5.024839971897327
229 : 229 | Magnitude: 24783.31640625 | Phase_angle: 5.259752375568868
230 : 230 | Magnitude: 24783.31640625 | Phase_angle: 5.494665206127233
231 : 231 | Magnitude: 24783.31640625 | Phase_angle: 5.729578036685597
232 : 232 | Magnitude: 24783.31640625 | Phase_angle: 5.9587611923039665
233 : 233 | Magnitude: 24783.31640625 | Phase_angle: 6.187944347922336
234 : 234 | Magnitude: 24783.31640625 | Phase_angle: 6.405668153660717
235 : 235 | Magnitude: 24783.31640625 | Phase_angle: 6.634851309279087
236 : 236 | Magnitude: 24774.16015625 | Phase_angle: 6.869764139837451
237 : 237 | Magnitude: 24783.31640625 | Phase_angle: 7.104676543508992
238 : 238 | Magnitude: 24783.31640625 | Phase_angle: 7.339588947180533
239 : 239 | Magnitude: 24783.31640625 | Phase_angle: 7.5687725296857264
240 : 240 | Magnitude: 24783.31640625 | Phase_angle: 7.797955258417272
241 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 8.027140548469758
242 : 43521 | Magnitude: 24783.31640625 | Phase_angle: 8.256332668711414
243 : 243 | Magnitude: 24783.31640625 | Phase_angle: 8.485505152159204
244 : 244 | Magnitude: 24783.31640625 | Phase_angle: 8.72614723077074
245 : 245 | Magnitude: 24783.31640625 | Phase_angle: 8.94960113833594
246 : 43521 | Magnitude: 24783.228515625 | Phase_angle: 9.155871143723031
247 : 247 | Magnitude: 24783.31640625 | Phase_angle: 9.407966595799031
248 : 248 | Magnitude: 24783.31640625 | Phase_angle: 9.648609528184213
249 : 249 | Magnitude: 24774.16015625 | Phase_angle: 9.877792256915761
250 : 250 | Magnitude: 24774.16015625 | Phase_angle: 10.118434335527295
251 : 43521 | Magnitude: 24783.37890625 | Phase_angle: 10.370271947962129
252 : 252 | Magnitude: 24774.16015625 | Phase_angle: 10.576800646764035
253 : 253 | Magnitude: 24774.16015625 | Phase_angle: 10.79452487938924
254 : 43521 | Magnitude: 24772.974609375 | Phase_angle: 10.771619840007602
255 : 255 | Magnitude: 24774.16015625 | Phase_angle: 11.27580903661231
256 : 256 | Magnitude: 24774.16015625 | Phase_angle: 11.504992619117504
257 : 257 | Magnitude: 24774.16015625 | Phase_angle: 11.716987176802713
258 : 258 | Magnitude: 24774.16015625 | Phase_angle: 11.957629255414249
259 : 259 | Magnitude: 24774.16015625 | Phase_angle: 12.175353488039452
260 : 260 | Magnitude: 24774.16015625 | Phase_angle: 12.415995566650988
261 : 261 | Magnitude: 24774.16015625 | Phase_angle: 12.645178295382534
262 : 262 | Magnitude: 24765.005859375 | Phase_angle: 12.874361877887727
263 : 263 | Magnitude: 24774.16015625 | Phase_angle: 13.09781493167928
264 : 264 | Magnitude: 24765.005859375 | Phase_angle: 13.349916360170804
265 : 265 | Magnitude: 24765.005859375 | Phase_angle: 13.579099942675997
266 : 266 | Magnitude: 24765.005859375 | Phase_angle: 13.825471696227526
267 : 267 | Magnitude: 24765.005859375 | Phase_angle: 13.596288113722334
268 : 43521 | Magnitude: 24767.47265625 | Phase_angle: 12.891603836673777
269 : 269 | Magnitude: 24765.005859375 | Phase_angle: 14.054654424959073
270 : 270 | Magnitude: 24765.005859375 | Phase_angle: 14.289567682404261
271 : 43521 | Magnitude: 24763.818359375 | Phase_angle: 14.301043253983527
272 : 43521 | Magnitude: 24761.384765625 | Phase_angle: 14.089050403845611
273 : 43521 | Magnitude: 24758.775390625 | Phase_angle: 13.653508023494116
274 : 274 | Magnitude: 24765.005859375 | Phase_angle: 15.206299451104092
275 : 43521 | Magnitude: 24779.146484375 | Phase_angle: 16.804104386665394
276 : 43521 | Magnitude: 24832.01953125 | Phase_angle: 19.07761481417418
277 : 277 | Magnitude: 24755.849609375 | Phase_angle: 15.88811966990603
278 : 278 | Magnitude: 24755.849609375 | Phase_angle: 16.128762602291214
279 : 43521 | Magnitude: 24762.603515625 | Phase_angle: 15.927978946354933
280 : 43521 | Magnitude: 24778.115234375 | Phase_angle: 15.28633390025101
281 : 43521 | Magnitude: 24808.779296875 | Phase_angle: 14.205558916934041
282 : 282 | Magnitude: 24755.849609375 | Phase_angle: 17.045495224764693
283 : 43521 | Magnitude: 24769.8671875 | Phase_angle: 18.6375815844434
284 : 284 | Magnitude: 24755.849609375 | Phase_angle: 17.515320032107773
285 : 285 | Magnitude: 24755.849609375 | Phase_angle: 17.744503614612967
286 : 286 | Magnitude: 24765.005859375 | Phase_angle: 17.985144839450857
287 : 43521 | Magnitude: 24783.380859375 | Phase_angle: 18.236967083960057
288 : 43521 | Magnitude: 24811.037109375 | Phase_angle: 18.499669819817086
289 : 43521 | Magnitude: 24848.04296875 | Phase_angle: 18.77292690548908
290 : 43521 | Magnitude: 24894.4609375 | Phase_angle: 19.056386586233778
291 : 291 | Magnitude: 24765.005859375 | Phase_angle: 19.18835608628218
292 : 292 | Magnitude: 24765.005859375 | Phase_angle: 19.417539668787374
293 : 293 | Magnitude: 24765.005859375 | Phase_angle: 19.658182601172555
294 : 294 | Magnitude: 24765.005859375 | Phase_angle: 19.904554354724084
295 : 295 | Magnitude: 24765.005859375 | Phase_angle: 20.16811427932195
296 : 296 | Magnitude: 24765.005859375 | Phase_angle: 20.397297861827145
297 : 297 | Magnitude: 24765.005859375 | Phase_angle: 20.64939843654502
298 : 298 | Magnitude: 24765.005859375 | Phase_angle: 20.890041368930202
299 : 299 | Magnitude: 24765.005859375 | Phase_angle: 21.124953772601746
300 : 300 | Magnitude: 24765.005859375 | Phase_angle: 21.377056054866916
301 : 43521 | Magnitude: 24765.103515625 | Phase_angle: 21.646351630820302
302 : 43521 | Magnitude: 24765.404296875 | Phase_angle: 21.9328405004619
303 : 43521 | Magnitude: 24766.01953125 | Phase_angle: 22.236522663791714
304 : 43521 | Magnitude: 24767.068359375 | Phase_angle: 22.55738787552599
305 : 305 | Magnitude: 24765.005859375 | Phase_angle: 22.574536772984597
306 : 306 | Magnitude: 24765.005859375 | Phase_angle: 22.826639055249768
307 : 307 | Magnitude: 24765.005859375 | Phase_angle: 23.05582093020767
308 : 308 | Magnitude: 24765.005859375 | Phase_angle: 23.29646386259285
309 : 309 | Magnitude: 24765.005859375 | Phase_angle: 23.525647445098045
310 : 43521 | Magnitude: 24764.947265625 | Phase_angle: 23.743376800365127
311 : 311 | Magnitude: 24765.005859375 | Phase_angle: 24.006931602321114
312 : 312 | Magnitude: 24765.005859375 | Phase_angle: 24.247574534706295
313 : 313 | Magnitude: 24765.005859375 | Phase_angle: 24.488215759544186
314 : 314 | Magnitude: 24765.005859375 | Phase_angle: 24.734587513095715
315 : 315 | Magnitude: 24765.005859375 | Phase_angle: 24.986689795360885
316 : 316 | Magnitude: 24765.005859375 | Phase_angle: 25.238790370078764
317 : 317 | Magnitude: 24765.005859375 | Phase_angle: 25.485162123630296
318 : 318 | Magnitude: 24765.005859375 | Phase_angle: 25.725805056015478
319 : 319 | Magnitude: 24765.005859375 | Phase_angle: 25.96644798840066
320 : 43521 | Magnitude: 24765.005859375 | Phase_angle: 26.207094335880424
321 : 321 | Magnitude: 24755.849609375 | Phase_angle: 26.42481344586375
322 : 322 | Magnitude: 24755.849609375 | Phase_angle: 26.659725849535292
323 : 323 | Magnitude: 24755.849609375 | Phase_angle: 26.906097603086824
324 : 324 | Magnitude: 24765.005859375 | Phase_angle: 27.135281185592014
325 : 43521 | Magnitude: 24783.228515625 | Phase_angle: 27.347046078166382
326 : 326 | Magnitude: 24765.005859375 | Phase_angle: 27.639484042575063
327 : 327 | Magnitude: 24755.849609375 | Phase_angle: 27.4274903386635
