,Unnamed: 0,chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
42,42,2014-01-28 18:00:14.283000000,2014-01-28 23:00:14.283000000,8,22,4096,60.034,-0.003,24792.47116,-35.60359738942936,24865.713320000003,-155.752847028363,24929.80021,84.15604094881532,0,0,0,0,0,0,416.56160000000006,-84.31073955350064,443.56944,158.3254275285004,457.30224,34.47487053302164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,2014-01-28 18:00:14.300000000,2014-01-28 23:00:14.300000000,8,22,4096,60.034,0.0,24783.31589,-35.380143849328334,24856.558050000003,-155.52366391031066,24920.64494,84.38522406686765,0,0,0,0,0,0,417.01936,-84.03571981183785,444.94272,158.3999120418674,456.84448,34.56654378024257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,2014-01-28 18:00:14.317000000,2014-01-28 23:00:14.317000000,8,22,4096,60.038,0.004,24783.31589,-35.17387904308124,24856.558050000003,-155.31166952611227,24920.64494,84.58575929516344,0,0,0,0,0,0,417.93488,-83.72059302451589,445.85824,158.6978500953354,457.7600000000001,34.82437478805144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,2014-01-28 18:00:14.333000000,2014-01-28 23:00:14.333000000,8,22,4096,60.038,0.0,24783.31589,-34.94469592502891,24856.558050000003,-155.09394556396254,24920.64494,84.81494241321576,0,0,0,0,0,0,415.64608,-83.71486344656459,443.56944,158.86973743387466,456.38672,34.9389663470776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,2014-01-28 18:00:14.350000000,2014-01-28 23:00:14.350000000,8,22,4096,60.035,-0.003,24783.31589,-34.72124238492789,24856.558050000003,-154.88195117976414,24920.64494,85.0498551092194,0,0,0,0,0,0,417.47712,-83.42265497104786,444.0272000000001,158.86973743387466,455.4712,35.23690440054563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,2014-01-28 18:00:14.367000000,2014-01-28 23:00:14.367000000,8,22,4096,60.035,0.0,24783.31589,-34.51497757868079,24856.558050000003,-154.66422721761444,24920.64494,85.25611991546651,0,0,0,0,0,0,416.1038400000001,-83.1705535411903,443.11168,159.20778253300185,455.01344000000006,35.44889878474403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,2014-01-28 18:00:14.383000000,2014-01-28 23:00:14.383000000,8,22,4096,60.036,0.001,24783.31589,-34.30298319448239,24856.558050000003,-154.45223283341602,24920.64494,85.46811429966489,0,0,0,0,0,0,417.93488,-82.99293662469974,444.0272000000001,159.55728678803166,457.30224,35.867157975189535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,2014-01-28 18:00:14.400000000,2014-01-28 23:00:14.400000000,8,22,4096,60.036,0.0,24783.31589,-34.07380007643006,24856.558050000003,-154.2115905594611,24920.64494,85.69729741771725,0,0,0,0,0,0,417.47712,-82.69499857123171,444.94272,159.60885298959343,456.38672,35.85569881928692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,2014-01-28 18:00:14.417000000,2014-01-28 23:00:14.417000000,8,22,4096,60.038,0.002,24783.31589,-33.850346536329035,24856.558050000003,-154.00532575321398,24920.64494,85.90929180191564,0,0,0,0,0,0,417.47712,-82.39133093981236,445.40048,159.97554597847716,456.84448,36.1249889829984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,2014-01-28 18:00:14.433000000,2014-01-28 23:00:14.433000000,8,22,4096,60.037,-0.001,24783.31589,-33.62116341827671,24856.558050000003,-153.78187221311296,24920.64494,86.13847491996796,0,0,0,0,0,0,416.1038400000001,-82.32257600439668,444.0272000000001,160.29640234375043,457.30224,36.37709041285597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,2014-01-28 18:00:14.450000000,2014-01-28 23:00:14.450000000,8,22,4096,60.036,-0.001,24792.47116,-33.403439456127,24856.558050000003,-153.56414825096326,24920.64494,86.3676580380203,0,0,0,0,0,0,419.7659200000001,-81.89285765804857,446.77376,160.24483614218866,457.30224,36.66929888837269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,2014-01-28 18:00:14.467000000,2014-01-28 23:00:14.467000000,8,22,4096,60.037,0.001,24783.31589,-33.185715493977284,24856.558050000003,-153.33496513291092,24920.64494,86.58538200017001,0,0,0,0,0,0,416.1038400000001,-81.83556187853549,444.48496000000006,160.548503773608,455.92896,36.675028466324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,2014-01-28 18:00:14.483000000,2014-01-28 23:00:14.483000000,8,22,4096,60.037,0.0,24783.31589,-32.962261953876265,24856.558050000003,-153.1229707487125,24920.64494,86.79737638436842,0,0,0,0,0,0,416.1038400000001,-81.73242947541193,443.56944,160.93811507429697,456.84448,37.0245327213538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,2014-01-28 18:00:14.500000000,2014-01-28 23:00:14.500000000,8,22,4096,60.037,0.0,24783.31589,-32.744537991726546,24856.558050000003,-152.8937876306602,24920.64494,87.01510034651811,0,0,0,0,0,0,417.93488,-81.52043509121354,444.0272000000001,160.9667629640535,456.84448,37.31674119687052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,2014-01-28 18:00:14.517000000,2014-01-28 23:00:14.517000000,8,22,4096,60.04,0.003,24783.31589,-32.51535487367422,24856.558050000003,-152.66460451260787,24920.64494,87.25001304252177,0,0,0,0,0,0,416.1038400000001,-81.11363505667065,444.0272000000001,161.2475122836676,455.4712,37.425603177945376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,2014-01-28 18:00:14.533000000,2014-01-28 23:00:14.533000000,8,22,4096,60.038,-0.002,24783.31589,-32.28044217767058,24856.558050000003,-152.44115097250685,24911.489670000003,87.47919616057409,0,0,0,0,0,0,414.73056,-81.13082379052457,442.19616,161.5454503371356,455.92896,37.6490567180464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,2014-01-28 18:00:14.550000000,2014-01-28 23:00:14.550000000,8,22,4096,60.036,-0.002,24783.31589,-32.06271821552087,24856.558050000003,-152.2234270103571,24911.489670000003,87.70837927862641,0,0,0,0,0,0,417.93488,-80.67245755441992,444.94272,161.8147405008471,457.7600000000001,38.044397596686665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,2014-01-28 18:00:14.567000000,2014-01-28 23:00:14.567000000,8,22,4096,60.036,0.0,24783.31589,-31.83353509746854,24856.558050000003,-151.99424389230478,24920.64494,87.93756239667876,0,0,0,0,0,0,415.64608,-80.86153362681308,441.28064000000006,161.89495459216542,456.38672,38.09596379824844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,2014-01-28 18:00:14.583000000,2014-01-28 23:00:14.583000000,8,22,4096,60.037,0.001,24783.31589,-31.621540713270136,24856.558050000003,-151.77079035220376,24911.489670000003,88.13809762497453,0,0,0,0,0,0,419.7659200000001,-80.43181528046497,444.48496000000006,162.32467293851354,459.59104,38.709028639038415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,2014-01-28 18:00:14.600000000,2014-01-28 23:00:14.600000000,8,22,4096,60.038,0.001,24774.16062,-31.403816751120424,24856.558050000003,-151.56452554595668,24911.489670000003,88.35009200917294,0,0,0,0,0,0,418.39264,-80.35160118914665,444.0272000000001,162.5882335242737,460.0488,38.79497230830804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,2014-01-28 18:00:14.617000000,2014-01-28 23:00:14.617000000,8,22,4096,60.037,-0.001,24774.16062,-31.1803632110194,24856.558050000003,-151.35253116175826,24911.489670000003,88.56781597132267,0,0,0,0,0,0,420.22368000000006,-79.9619898884577,445.40048,162.8288757982287,460.96432,39.13874698538654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,2014-01-28 18:00:14.633000000,2014-01-28 23:00:14.633000000,8,22,4096,60.036,-0.001,24774.16062,-30.96263924886969,24838.24751,-151.11188888780333,24911.489670000003,88.79699908937499,0,0,0,0,0,0,415.18832,-79.86458706328546,442.19616,162.7887687525695,455.92896,38.93821175709074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,2014-01-28 18:00:14.650000000,2014-01-28 23:00:14.650000000,8,22,4096,60.037,0.001,24783.31589,-30.73345613081736,24838.24751,-150.90562408155623,24911.489670000003,89.03764136332995,0,0,0,0,0,0,417.01936,-79.5437306980122,443.11168,163.1382730075993,457.30224,39.408037149098014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,2014-01-28 18:00:14.667000000,2014-01-28 23:00:14.667000000,8,22,4096,60.036,-0.001,24774.16062,-30.515732168667647,24838.24751,-150.6649818076013,24911.489670000003,89.25536532547964,0,0,0,0,0,0,414.2728,-79.46351660669387,440.82288000000005,163.2700533004794,455.01344000000006,39.46533292861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,2014-01-28 18:00:14.683000000,2014-01-28 23:00:14.683000000,8,22,4096,60.035,-0.001,24774.16062,-30.30373778446924,24838.24751,-150.45298742340287,24911.489670000003,89.46735970967805,0,0,0,0,0,0,415.18832,-79.19422644298238,441.7384,163.66539417911966,456.84448,39.797648449786976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,2014-01-28 18:00:14.700000000,2014-01-28 23:00:14.700000000,8,22,4096,60.036,0.001,24774.16062,-30.080284244368222,24838.24751,-150.23526346125317,24911.489670000003,89.67935409387646,0,0,0,0,0,0,414.2728,-79.09109403985885,440.82288000000005,163.7570674263406,455.4712,39.877862541105294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,2014-01-28 18:00:14.717000000,2014-01-28 23:00:14.717000000,8,22,4096,60.038,0.002,24774.16062,-29.862560282218507,24838.24751,-150.02326907705475,24902.334400000003,89.88561890012353,0,0,0,0,0,0,415.18832,-78.61553906990025,442.65392,164.0550054798086,456.38672,40.15861186071941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
