chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:18.533000000,2014-01-28 23:00:18.533000000,12,22,4096,60.034999999999997,-0.002,253344.63144000003,49.818680286625082,260375.87880000003,-69.734693245372497,255486.96462000001,171.59513006373027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.550000000,2014-01-28 23:00:18.550000000,12,22,4096,60.034999999999997,0,253308.01036000001,50.036404248774794,260330.10245000003,-69.505510127320164,255468.65408000001,171.81858360383129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.567000000,2014-01-28 23:00:18.567000000,12,22,4096,60.036999999999999,0.002,253271.38928000003,50.265587366827127,260348.41299000001,-69.270597431316531,255505.27516000002,172.03630756598099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.583000000,2014-01-28 23:00:18.583000000,12,22,4096,60.037999999999997,0.001,253243.92347000001,50.489040906928146,260366.72353000002,-69.052873469166812,255523.58570000003,172.25976110608201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.600000000,2014-01-28 23:00:18.600000000,12,22,4096,60.036999999999999,-0.001,253271.38928000003,50.718224024980472,260412.49988000002,-68.823690351114493,255514.43043000001,172.47748506823172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.617000000,2014-01-28 23:00:18.617000000,12,22,4096,60.037999999999997,0.001,253298.85509000003,50.947407143032805,260412.49988000002,-68.600236811013474,255477.80935000003,172.71812734218668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.633000000,2014-01-28 23:00:18.633000000,12,22,4096,60.037999999999997,0,253308.01036000001,51.176590261085131,260357.56826000003,-68.371053692961141,255468.65408000001,172.94731046023901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.650000000,2014-01-28 23:00:18.650000000,12,22,4096,60.039000000000001,0.001,253298.85509000003,51.405773379137464,260330.10245000003,-68.141870574908808,255486.96462000001,173.18795273419394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.667000000,2014-01-28 23:00:18.667000000,12,22,4096,60.039999999999999,0.001,253234.76820000002,51.634956497189791,260357.56826000003,-67.901228300953861,255523.58570000003,173.40567669634365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:18.683000000,2014-01-28 23:00:18.683000000,12,22,4096,60.040999999999997,0.001,253225.61293000003,51.869869193193431,260366.72353000002,-67.672045182901542,255523.58570000003,173.61767108054207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
