chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,Magnitude09,Angle09,Magnitude10,Angle10,Magnitude11,Angle11,Magnitude12,Angle12,Magnitude13,Angle13,Magnitude14,Angle14,Magnitude15,Angle15,Magnitude16,Angle16,DIModule01
2014-01-28 18:00:16.667000000,2014-01-28 23:00:16.667000000,8,22,4096,60.036999999999999,0,24755.850080000004,-4.3315609311890242,24819.936970000002,-124.48081057012266,24893.17913,115.44526614090958,0,0,0,0,0,0,418.39264000000003,-53.371018616436189,440.36512000000005,-170.75288210488796,455.92896000000002,65.92452390775253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.683000000,2014-01-28 23:00:16.683000000,8,22,4096,60.037999999999997,0.001,24765.005350000003,-4.1023778131366946,24819.936970000002,-124.25162745207034,24893.17913,115.68017883691321,0,0,0,0,0,0,416.56160000000006,-53.474151019559734,437.16080000000005,-170.69558632537488,454.09792000000004,66.096411246291765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.700000000,2014-01-28 23:00:16.700000000,8,22,4096,60.039000000000001,0.001,24755.850080000004,-3.8846538509869815,24819.936970000002,-124.03390348992062,24893.17913,115.88644364316031,0,0,0,0,0,0,419.30816000000004,-53.113187608627314,439.44960000000003,-170.26013840107544,457.30224000000004,66.566236638299046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.717000000,2014-01-28 23:00:16.717000000,8,22,4096,60.037999999999997,-0.001,24755.850080000004,-3.6554707329346523,24819.936970000002,-123.80472037186829,24893.17913,116.11562676121264,0,0,0,0,0,0,419.76592000000005,-52.935570692136764,438.99184000000002,-170.13408768614667,456.84448000000003,66.789690178400065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.733000000,2014-01-28 23:00:16.733000000,8,22,4096,60.037999999999997,0,24755.850080000004,-3.4320171928336314,24819.936970000002,-123.58126683176727,24893.17913,116.33908030131366,0,0,0,0,0,0,419.76592000000005,-52.471474878080791,441.28064000000006,-169.70436933979855,458.21776000000006,67.007414140549784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.750000000,2014-01-28 23:00:16.750000000,8,22,4096,60.037999999999997,0,24755.850080000004,-3.1913749188786857,24819.936970000002,-123.34062455781232,24893.17913,116.5797225752686,0,0,0,0,0,0,419.30816000000004,-52.385531208811173,439.44960000000003,-169.72155807365246,456.38672000000003,67.196490212942948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.767000000,2014-01-28 23:00:16.767000000,8,22,4096,60.037999999999997,0,24755.850080000004,-2.9621918008263561,24819.936970000002,-123.11144143976,24893.17913,116.81463527127225,0,0,0,0,0,0,420.68144000000001,-51.961542440414362,441.73840000000001,-169.31475803910959,458.21776000000006,67.528805734118833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.783000000,2014-01-28 23:00:16.783000000,8,22,4096,60.039999999999999,0.002,24765.005350000003,-2.7215495268714105,24819.936970000002,-122.87079916580505,24902.334400000003,117.06673670112981,0,0,0,0,0,0,419.30816000000004,-52.03029737583006,438.53408000000002,-169.28038057140174,456.38672000000003,67.666315604950228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.800000000,2014-01-28 23:00:16.800000000,8,22,4096,60.042000000000002,0.002,24765.005350000003,-2.4809072529164649,24819.936970000002,-122.63015689185011,24902.334400000003,117.29591981918213,0,0,0,0,0,0,418.39264000000003,-51.594849451530635,440.36512000000005,-168.68450446446568,457.76000000000005,67.866850833246019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.817000000,2014-01-28 23:00:16.817000000,8,22,4096,60.039999999999999,-0.002,24765.005350000003,-2.2402649789615188,24829.092240000002,-122.39524419584646,24902.334400000003,117.52510293723446,0,0,0,0,0,0,421.13920000000002,-51.325559287819146,440.82288000000005,-168.62147910700128,457.76000000000005,68.285110023691516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.833000000,2014-01-28 23:00:16.833000000,8,22,4096,60.040999999999997,0.001,24765.005350000003,-2.0053522829578814,24829.092240000002,-122.15460192189151,24902.334400000003,117.7600156332381,0,0,0,0,0,0,421.59696000000002,-51.090646591815506,441.28064000000006,-168.37510725509503,458.67552000000006,68.537211453549077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.850000000,2014-01-28 23:00:16.850000000,8,22,4096,60.037999999999997,-3.0000000000000001E-3,24765.005350000003,-1.770439586954244,24829.092240000002,-121.92541880383919,24902.334400000003,118.00638748514436,0,0,0,0,0,0,419.76592000000005,-50.884381785568415,439.44960000000003,-168.37510725509503,455.47120000000001,68.634614278721315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.867000000,2014-01-28 23:00:16.867000000,8,22,4096,60.036999999999999,-0.001,24765.005350000003,-1.5412564689019146,24819.936970000002,-121.69050610783555,24902.334400000003,118.23557060319669,0,0,0,0,0,0,418.85040000000004,-50.643739511613468,439.90736000000004,-168.00268468825999,456.38672000000003,68.829419929065793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.883000000,2014-01-28 23:00:16.883000000,8,22,4096,60.036999999999999,0,24765.005350000003,-1.3120733508495852,24829.092240000002,-121.46132298978323,24902.334400000003,118.46475372124901,0,0,0,0,0,0,420.22368000000006,-50.483311328976839,438.99184000000002,-167.77350157020766,456.38672000000003,69.259138275413918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.900000000,2014-01-28 23:00:16.900000000,8,22,4096,60.039000000000001,0.002,24774.160620000002,-1.082890232797256,24829.092240000002,-121.22068071582828,24902.334400000003,118.69966641725266,0,0,0,0,0,0,421.13920000000002,-50.133807073947033,440.36512000000005,-167.3724311136161,458.21776000000006,69.568535484784562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.917000000,2014-01-28 23:00:16.917000000,8,22,4096,60.039999999999999,0.001,24774.160620000002,-0.85370711474492667,24838.247510000001,-121.00295675367856,24902.334400000003,118.91739037940236,0,0,0,0,0,0,420.68144000000001,-49.85305775433293,440.36512000000005,-167.23492124278468,457.30224000000004,69.71750451151857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.933000000,2014-01-28 23:00:16.933000000,8,22,4096,60.037999999999997,-0.002,24765.005350000003,-0.63025357464390563,24829.092240000002,-120.78523279152886,24902.334400000003,119.13511434155208,0,0,0,0,0,0,422.51248000000004,-49.44052814183874,443.11168000000004,-166.90260572160881,459.13328000000001,70.026901720889214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.950000000,2014-01-28 23:00:16.950000000,8,22,4096,60.037999999999997,0,24774.160620000002,-0.39534087864026807,24829.092240000002,-120.53313136167129,24902.334400000003,119.38721577140964,0,0,0,0,0,0,420.22368000000006,-49.394691518228271,439.90736000000004,-167.00573812473237,455.47120000000001,70.089927078353611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.967000000,2014-01-28 23:00:16.967000000,8,22,4096,60.036999999999999,-0.001,24774.160620000002,-0.1604281826366305,24829.092240000002,-120.30394824361896,24911.489670000003,119.61639888946198,0,0,0,0,0,0,419.30816000000004,-49.102483042711555,440.36512000000005,-166.60466766814079,455.47120000000001,70.319110196405944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:16.983000000,2014-01-28 23:00:16.983000000,8,22,4096,60.037999999999997,0.001,24774.160620000002,6.8754935415698784E-2,24829.092240000002,-120.06330596966401,24911.489670000003,119.86850031931954,0,0,0,0,0,0,420.68144000000001,-48.821733723097452,440.36512000000005,-166.38121412803977,456.38672000000003,70.680073607338358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17,2014-01-28 23:00:17,8,22,4096,60.040999999999997,3.0000000000000001E-3,24774.160620000002,0.2979380534680281,24838.247510000001,-119.82266369570907,24911.489670000003,120.09768343737186,0,0,0,0,0,0,420.68144000000001,-48.621198494801661,440.82288000000005,-166.03170987300996,457.30224000000004,70.909256725390691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.017000000,2014-01-28 23:00:17.017000000,8,22,4096,59.985999999999997,-0.055,24774.160620000002,8.5943669269623491E-2,24838.247510000001,-120.04038765785879,24911.489670000003,119.86850031931954,0,0,0,0,0,0,421.13920000000002,-49.050916841149778,439.44960000000003,-166.42132117369891,456.84448000000003,70.714451075046213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.033000000,2014-01-28 23:00:17.033000000,8,22,4096,60.009999999999998,0.024,24774.160620000002,0.31512678732195282,24838.247510000001,-119.82266369570907,24911.489670000003,120.09768343737186,0,0,0,0,0,0,421.59696000000002,-48.78162667743829,439.44960000000003,-166.11192396432827,457.30224000000004,71.058225752124699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.050000000,2014-01-28 23:00:17.050000000,8,22,4096,60.051000000000002,4.1000000000000002E-2,24774.160620000002,0.55576906127689851,24838.247510000001,-119.58202142175412,24911.489670000003,120.34978486722943,0,0,0,0,0,0,419.30816000000004,-48.49514777987288,438.53408000000002,-166.00306198325342,454.55568000000005,71.075414485978627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.067000000,2014-01-28 23:00:17.067000000,8,22,4096,60.030999999999999,-0.02,24774.160620000002,0.77922260137791965,24838.247510000001,-119.35283830370179,24911.489670000003,120.57896798528175,0,0,0,0,0,0,421.59696000000002,-48.145643524843081,440.82288000000005,-165.57334363690529,457.76000000000005,71.424918741008426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.083000000,2014-01-28 23:00:17.083000000,8,22,4096,60.042999999999999,0.012,24774.160620000002,1.0255944532841736,24838.247510000001,-119.10073687384423,24920.644940000002,120.82533983718801,0,0,0,0,0,0,420.68144000000001,-47.985215342206445,440.36512000000005,-165.45302249992784,456.38672000000003,71.568158189791134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.100000000,2014-01-28 23:00:17.100000000,8,22,4096,60.039000000000001,-4.0000000000000001E-3,24774.160620000002,1.254777571336503,24838.247510000001,-118.87155375579191,24920.644940000002,121.04879337728903,0,0,0,0,0,0,422.97024000000005,-47.555496995858327,443.11168000000004,-165.04049288743363,459.13328000000001,71.929121600723548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.117000000,2014-01-28 23:00:17.117000000,8,22,4096,60.039999999999999,0.001,24783.315890000002,1.4954198452914487,24838.247510000001,-118.63091148183696,24920.644940000002,121.28943565124398,0,0,0,0,0,0,422.97024000000005,-47.503930794296558,441.28064000000006,-164.954549218164,458.21776000000006,72.169763874678495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.133000000,2014-01-28 23:00:17.133000000,8,22,4096,60.039999999999999,0,24783.315890000002,1.7246029633437781,24838.247510000001,-118.40172836378463,24920.644940000002,121.53007792519892,0,0,0,0,0,0,421.13920000000002,-47.160156117218065,443.11168000000004,-164.53056044976719,458.67552000000006,72.20987092033765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28 18:00:17.150000000,2014-01-28 23:00:17.150000000,8,22,4096,60.039000000000001,-0.001,24783.315890000002,1.9595156593474155,24838.247510000001,-118.17254524573229,24911.489670000003,121.75926104325126,0,0,0,0,0,0,420.22368000000006,-47.091401181802361,440.36512000000005,-164.54201960566982,456.38672000000003,72.387487836828214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
