chicagolocaltime,TimeTag,IDCode,ConfigCount,State,Frequency,DFrequency,Magnitude01,Angle01,Magnitude02,Angle02,Magnitude03,Angle03,Magnitude04,Angle04,Magnitude05,Angle05,Magnitude06,Angle06,Magnitude07,Angle07,Magnitude08,Angle08,DIModule01
2014-01-28 18:00:23.783000000,2014-01-28 23:00:23.783000000,4,22,4096,60.039999999999999,0,12771.601650000001,33.317495786857371,12734.980570000002,153.34642428881352,12725.8253,-86.63121862378047,114.44000000000001,3.1398087173169116,176.69536000000002,126.06790366263505,158.38496000000001,-113.74358148937104,0,0,0,0,0
2014-01-28 18:00:23.800000000,2014-01-28 23:00:23.800000000,4,22,4096,60.037999999999997,-0.002,12771.601650000001,33.535219749007084,12734.980570000002,153.57560740686586,12725.8253,-86.390576349825537,113.98224,3.1283495614142951,177.15312,126.29708678068737,157.01168000000001,-113.88109136020243,0,0,0,0,0
2014-01-28 18:00:23.817000000,2014-01-28 23:00:23.817000000,4,22,4096,60.039000000000001,0.001,12771.601650000001,33.764402867059417,12734.980570000002,153.80479052491819,12725.8253,-86.15566365382189,114.44000000000001,3.495042550298022,177.61088000000001,126.5892952562041,157.46944000000002,-113.46283216975694,0,0,0,0,0
2014-01-28 18:00:23.833000000,2014-01-28 23:00:23.833000000,4,22,4096,60.039999999999999,0.001,12771.601650000001,34.005045141014364,12734.980570000002,154.02824406501921,12725.8253,-85.920750957818257,114.89776000000001,3.8445468053278242,177.15312,126.74972343884072,157.46944000000002,-113.29094483121769,0,0,0,0,0
2014-01-28 18:00:23.850000000,2014-01-28 23:00:23.850000000,4,22,4096,60.039000000000001,-0.001,12771.601650000001,34.239957837017997,12734.980570000002,154.26888633897417,12725.8253,-85.691567839765924,114.89776000000001,4.1482144367471605,177.15312,127.00755444664959,157.9272,-112.98154762184704,0,0,0,0,0
2014-01-28 18:00:23.867000000,2014-01-28 23:00:23.867000000,4,22,4096,60.036999999999999,-0.002,12771.601650000001,34.46914095507033,12725.8253,154.4980694570265,12725.8253,-85.473843877616218,114.44000000000001,4.1482144367471605,177.15312,127.18517136314014,157.01168000000001,-112.84403775101563,0,0,0,0,0
2014-01-28 18:00:23.883000000,2014-01-28 23:00:23.883000000,4,22,4096,60.036999999999999,0,12771.601650000001,34.686864917220042,12734.980570000002,154.72725257507881,12725.8253,-85.244660759563885,114.44000000000001,4.5779327830952781,178.06864000000002,127.62634886539088,158.38496000000001,-112.47161518418061,0,0,0,0,0
2014-01-28 18:00:23.900000000,2014-01-28 23:00:23.900000000,4,22,4096,60.039999999999999,3.0000000000000001E-3,12771.601650000001,34.927507191174989,12734.980570000002,154.95643569313114,12725.8253,-85.015477641511552,114.44000000000001,4.5550144712900451,177.61088000000001,127.72948126851443,157.9272,-112.27107995588482,0,0,0,0,0
2014-01-28 18:00:23.917000000,2014-01-28 23:00:23.917000000,4,22,4096,60.039000000000001,-0.001,12771.601650000001,35.145231153324701,12734.980570000002,155.18561881118347,12716.670030000001,-84.774835367556605,114.44000000000001,4.9847328176381627,177.15312,127.95866438656675,157.01168000000001,-112.21378417637173,0,0,0,0,0
2014-01-28 18:00:23.933000000,2014-01-28 23:00:23.933000000,4,22,4096,60.036999999999999,-0.002,12771.601650000001,35.36868469342572,12725.8253,155.40907235128449,12716.670030000001,-84.551381827455586,114.44000000000001,5.1279722664208682,177.61088000000001,128.1362813030573,157.01168000000001,-112.01324894807594,0,0,0,0,0
2014-01-28 18:00:23.950000000,2014-01-28 23:00:23.950000000,4,22,4096,60.037999999999997,0.001,12771.601650000001,35.609326967380667,12725.8253,155.63825546933683,12716.670030000001,-84.322198709403253,113.98224,5.4373694757915123,177.15312,128.35973484315832,157.01168000000001,-111.72104047255922,0,0,0,0,0
2014-01-28 18:00:23.967000000,2014-01-28 23:00:23.967000000,4,22,4096,60.036999999999999,-0.001,12762.446380000001,35.82705092953038,12725.8253,155.86743858738916,12716.670030000001,-84.104474747253548,114.44000000000001,5.7467666851621573,176.69536000000002,128.57745880530805,157.46944000000002,-111.51477566631213,0,0,0,0,0
